"ORI","IncidentId","IncidentDate","TotalVictims","TotalOffenders","OffenderRaceId"
"CA0194200","141919948","2014-10-01",2,0,"U"
"CA0194200","142005108","2014-01-26",1,4,"W"
"CA0194200","142008178","2014-03-30",0,0,"U"
"CA0194200","142010787","2014-05-26",1,0,"U"
"CA0194200","142010866","2014-05-28",1,1,"W"
"CA0194200","142017818","2014-10-13",1,3,"W"
"CA0194200","142018510","2014-10-25",1,0,"U"
"CA0194200","142019456","2014-11-14",1,1,"W"
"CA0194200","142020026","2014-11-25",1,1,"W"
"CA0194200","142108463","2014-04-09",1,0,"U"
"CA0194200","142111450","2014-06-15",1,1,"W"
"CA0194800","14-36143","2014-08-31",2,4,"W"
"CA0194900","014-09989-04","2014-07-28",1,4,"W"
"CA0194900","014-12765-04","2014-09-29",0,0,"U"
"CA0194900","014-12970-04","2014-10-03",0,0,"U"
"CA0194900","014-13207-04","2014-10-09",1,0,"U"
"CA0194900","14-03379-04","2014-03-10",1,1,"W"
"CA0194900","14-05820-04","2014-04-30",1,0,"U"
"CA0194900","14-06176-04","2014-05-08",0,0,"U"
"CA0194900","14-06306-04","2014-05-11",0,0,"U"
"CA0194900","14-06311-04","2014-05-10",0,0,"U"
"CA0194900","14-06312-04","2014-05-10",1,0,"U"
"CA0194900","14-07023-04","2014-05-26",1,0,"U"
"CA0195000","014-17656-26","2014-12-08",1,1,"W"
"CA0195000","14-05487-26","2014-04-18",1,0,"U"
"CA0195200","14-07833-13","2014-04-26",1,0,"U"
"CA0195200","14-09325-13","2014-05-19",1,3,"W"
"CA0195300","14014467","2014-10-17",1,0,"U"
"CA0195300","14014967","2014-10-27",1,1,"W"
"CA0195500","14-49929","2014-05-07",2,1,"W"
"CA0195600","14-002173","2014-04-22",0,0,"U"
"CA0195600","14-2452","2014-05-05",2,1,"U"
"CA0195600","14-2705","2014-05-17",0,0,"U"
"CA0195600","14001188","2014-03-03",1,0,"U"
"CA0196000","014-05992-08","2014-12-26",2,1,"A"
"CA0196600","140328","2014-05-01",1,1,"W"
"CA0197100","14-00870-05","2014-01-22",1,1,"W"
"CA0197500","14-01084","2014-02-06",1,0,"U"
"CA0197700","014-08843-16","2014-09-11",1,0,"U"
"CA0199600","14-07700-11","2014-05-06",2,4,"W"
"CA0199600","14-08535-11","2014-05-20",0,0,"U"
"CA0199600","14-09784-11","2014-06-08",1,1,"W"
"CA0230300","14-3198","2014-10-19",1,1,"W"
"CA0240000","14-19362","2014-06-22",2,3,"W"
"CA0260100","14-0351","2014-06-02",1,3,"W"
"CA0270600","YG1403969","2014-08-01",1,1,"W"
"CA0270600","YG1404881","2014-09-16",1,1,"W"
"CA0271200","14-0697","2014-03-28",1,1,"W"
"CA0300000","14-103082","2014-06-04",3,1,"W"
"CA0300200","14-003032","2014-09-27",4,1,"W"
"CA0300300","14-24200","2014-05-24",1,1,"W"
"CA0300800","14-33825","2014-06-07",4,5,"W"
"CA0300900","1404003","2014-04-01",1,3,"A"
"CA0300900","1413083","2014-10-19",1,1,"W"
"CA0301000","14-002164","2014-02-14",0,0,"U"
"CA0301000","14-009529","2014-07-06",1,0,"U"
"CA0301500","14-05-0023","2014-04-23",1,1,"U"
"CA0301700","14-156230","2014-08-14",0,0,"U"
"CA0301900","14-06770","2014-03-17",5,1,"W"
"CA0301900","2014-16133","2014-06-20",3,1,"W"
"CA0301900","2014-24694","2014-09-23",1,1,"W"
"CA0301900","2014-26455","2014-10-11",2,0,"U"
"CA0301900","2014-32296","2014-12-16",0,1,"A"
"CA0302600","14-07206","2014-06-05",1,0,"U"
"CA0302600","14-11408","2014-09-10",3,0,"U"
"CA0302600","14-15376","2014-12-07",1,1,"W"
"CA0303600","14-031728","2014-02-20",1,1,"U"
"CA0303600","14-126217","2014-07-04",1,1,"W"
"CA0303600","14-184393","2014-09-24",1,1,"W"
"CA0304300","14-215216","2014-11-07",1,1,"W"
"CA0310500","328-14-11507","2014-11-24",2,13,"M"
"CA0330000","C-142580002","2014-09-15",1,0,"U"
"CA0330000","D-141370037","2014-05-17",2,0,"U"
"CA0331100","1403P-1977","2014-02-25",0,0,"U"
"CA0331100","1404P-3804","2014-04-17",1,1,"W"
"CA0331100","1406P-2924","2014-06-14",1,1,"W"
"CA0331300","P14002093","2014-01-05",1,1,"W"
"CA0331300","P14020284","2014-02-09",1,1,"W"
"CA0331300","P14028296","2014-02-24",1,4,"W"
"CA0331300","P14039725","2014-03-17",1,4,"W"
"CA0331300","P14073592","2014-05-16",2,0,"U"
"CA0331300","P14119999","2014-08-06",1,1,"W"
"CA0331300","P14130798","2014-08-26",1,1,"A"
"CA0331300","P14162643","2014-10-23",1,1,"W"
"CA0331300","P14169463","2014-11-06",1,4,"W"
"CA0333100","LA141600073","2014-06-09",1,0,"U"
"CA0333200","MV-143110309","2014-11-04",1,1,"W"
"CA0333200","MV-143400050","2014-12-06",1,0,"U"
"CA0333200","MV-143460251","2014-12-12",1,0,"U"
"CA0333200","MV-143590173","2014-12-25",1,0,"U"
"CA0334200","1411M-0006","2014-11-01",2,0,"U"
"CA0334400","314-0099","2014-03-13",1,1,"W"
"CA0337800","ME-141180088","2014-04-28",1,1,"B"
"CA0340000","14-131980","2014-06-14",3,1,"W"
"CA0340000","14-162413","2014-07-20",1,2,"W"
"CA0340000","14-37547","2014-02-19",2,2,"W"
"CA0340000","14-91604","2014-04-28",2,1,"B"
"CA0340200","14-110","2014-01-13",1,1,"W"
"CA0340400","14-301970","2014-10-27",1,1,"W"
"CA0340400","2014-163529","2014-06-14",2,1,"B"
"CA0340400","2014-96069","2014-04-10",0,0,"U"
"CA0360000","011404025","2014-10-19",2,2,"W"
"CA0360000","051400347","2014-02-23",1,0,"U"
"CA0360000","140400461","2014-07-13",1,1,"B"
"CA0360000","140801158","2014-08-20",1,1,"B"
"CA0360100","14-1097","2014-03-19",1,2,"W"
"CA0360200","14-09447","2014-12-17",2,2,"W"
"CA0360400","14-20508","2014-12-08",1,1,"W"
"CA0360500","14-1087","2014-03-09",0,1,"W"
"CA0360500","14-1607","2014-04-11",1,1,"W"
"CA0360500","14-3268","2014-07-30",1,1,"W"
"CA0360800","140011321","2014-03-19",1,0,"U"
"CA0360800","140039181","2014-09-10",2,2,"W"
"CA0361000","2014-12623","2014-01-31",1,3,"W"
"CA0361200","171408688","2014-07-18",1,0,"U"
"CA0361200","171413034","2014-10-28",1,1,"U"
"CA0361200","171413136","2014-10-31",1,0,"U"
"CA0361300","241401825","2014-06-26",2,1,"W"
"CA0361600","111412228","2014-11-15",2,8,"W"
"CA0361600","111413093","2014-12-07",2,1,"W"
"CA0363000","131403342","2014-08-11",1,1,"W"
"CA0363000","131404927","2014-11-18",1,2,"W"
"CA0363000","141302448","2014-06-15",1,1,"W"
"CA0363200","191406630","2014-09-06",1,2,"W"
"CA0363300","181400567","2014-02-01",2,1,"W"
"CA0363300","181403447","2014-06-22",0,0,"U"
"CA0364000","142201508","2014-05-26",1,1,"A"
"CA0364100","231401766","2014-09-14",1,1,"W"
"CA0370000","14100541","2014-01-03",4,5,"W"
"CA0370000","14102890","2014-01-17",1,1,"W"
"CA0370000","14107618","2014-02-10",1,0,"U"
"CA0370000","14122062","2014-05-01",1,1,"A"
"CA0370000","14122239","2014-05-02",1,3,"W"
"CA0370000","14128804","2014-06-06",1,1,"W"
"CA0370000","14132271","2014-06-23",1,2,"W"
"CA0370000","14133099","2014-06-30",1,4,"W"
"CA0370000","14138795","2014-07-31",1,1,"W"
"CA0370000","14140562","2014-08-10",2,1,"W"
"CA0370000","14147546","2014-09-10",1,1,"U"
"CA0370000","14157719","2014-11-14",4,1,"B"
"CA0370200","1402225","2014-02-15",1,0,"U"
"CA0370200","1402638","2014-02-24",1,1,"U"
